JLCPCB BOM Tool - BOM Matching,,,,,,,,,,,,,,,,,
BOM name：bom-JLCPCB Assembly Order.xlsx,,,Download Time：2026-01-05 06:33:50,,,,"* Our matching results are updated in real-time, but stock and prices may change. 
If it's been over 24 hours, please re-match before placing your order.",,,,,,,,,,
PCB Assembled Qty：5,,,Est. Total Price：15.1631,,,,,,,,,,,,,,
Your BOM,,,,,Matched Parts,,,,,,,Order Information,,,,,
Top Designator,Bottom Designator,Comment,Footprint,JLCPCB Part #,Matches,Part # ,Manufacturer,Footprint,Description,Category,Warning,JLCPCB Part #,Product link,Lib Type,Qty,Source,Total Price ($)
"C1,C2",,10uF,0805,,Select by System,CL21A106KAYNNNE,Samsung Electro-Mechanics,0805,10uF 25V X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C15850,https://jlcpcb.com/partdetail/16532-CL21A106KAYNNNE/C15850,Basic,10,10 JLCPCB,0.098
"C10,C12,C13,C16,C29,C4,C5,C6,C7,C8,C9",,0.1uF,0402,,Unconfirmed,CL05B104KO5NNNC,Samsung Electro-Mechanics,0402,100nF 16V X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,1.The comment (CL05B104KO5NNNC) of this part does not match the one (0.1uF) provided in your BOM. Please confirm;,C1525,https://jlcpcb.com/partdetail/1877-CL05B104KO5NNNC/C1525,Basic,55,55 JLCPCB,0.066
"C11,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C3",,1uF,0402,,Select by System,CL05A105KA5NQNC,Samsung Electro-Mechanics,0402,1uF 25V X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C52923,https://jlcpcb.com/partdetail/53938-CL05A105KA5NQNC/C52923,Basic,60,60 JLCPCB,0.174
"C14,C15,C30",,33pF,0402,,Select by System,0402CG330J500NT,FH (Guangdong Fenghua Advanced Tech),0402,33pF 50V C0G ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C1562,https://jlcpcb.com/partdetail/1914-0402CG330J500NT/C1562,Basic,15,15 JLCPCB,0.015
"C27,C28",,4.7uF,0603,,Select by System,CL10A475KO8NNNC,Samsung Electro-Mechanics,0603,16V 4.7uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C19666,https://jlcpcb.com/partdetail/20375-CL10A475KO8NNNC/C19666,Basic,10,10 JLCPCB,0.092
D1,,KT-0805G,0805,,Select by System,KT-0805G,Hubei KENTO Elec,0805,-40℃~+85℃ 100mW 120° 2.6V~3.1V 430mcd 513nm~528nm 525nm 5mA Emerald Green 0805 LED Indication - Discrete ROHS,LED Indication - Discrete,,C2297,https://jlcpcb.com/partdetail/Hubei_KENTOElec-KT0805G/C2297,Basic,5,5 JLCPCB,0.054
"D2,D3,D4",,MBR0530,D_SOD-123,,Select by System,MBR0530,TWGMC,SOD-123,130uA 30V 5.5A 500mA 500mV@500mA Independent SOD-123 Schottky Diodes ROHS,Schottky Diodes,,C5204746,https://jlcpcb.com/partdetail/TWGMC-MBR0530/C5204746,Extended,23,23 JLCPCB,0.4278
J1,,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,,Select by Customer,TYPE-C-31-M-12,Korean Hroparts Elec,SMD,1 16P 5A Female Type-C SMD USB Connectors ROHS,USB Connectors,,C165948,https://jlcpcb.com/partdetail/Korean_HropartsElec-TYPE_C_31_M12/C165948,Extended,5,5 JLCPCB,0.847
L2,,68uH,L_Changjiang_FNR6028S,,Select by Customer,FNR6028S680MT,cjiang (Changjiang Microelectronics Tech),"SMD,6x6mm","468mΩ 68uH 950mA 950mA Magnetic Shielded Inductor ±20% SMD,6x6mm Power Inductors ROHS",Power Inductors,,C168045,https://jlcpcb.com/partdetail/179428-FNR6028S680MT/C168045,Extended,6,6 JLCPCB,0.3978
Q2,,IRLML2060,SOT-23,,Unconfirmed,IRLML2060TRPBF,TECH PUBLIC,SOT-23,105mΩ@10V 19.5pF 247pF 2V 34pF 350mW 3A 60V 6nC@4.5V SOT-23 MOSFETs ROHS,MOSFETs,1.The comment (IRLML2060TRPBF) of this part does not match the one (IRLML2060) provided in your BOM. Please confirm;,C5122027,https://jlcpcb.com/partdetail/TECHPUBLIC-IRLML2060TRPBF/C5122027,Extended,9,9 JLCPCB,0.5607
"R1,R2",,5.1K,0402,,Unconfirmed,0402WGF5101TCE,UNI-ROYAL(Uniroyal Elec),0402,-55℃~+155℃ 5.1kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0402WGF5101TCE) of this part does not match the one (5.1K) provided in your BOM. Please confirm;,C25905,https://jlcpcb.com/partdetail/26648-0402WGF5101TCE/C25905,Basic,10,10 JLCPCB,0.005
"R3,R4",,22,0402,,Unconfirmed,0402WGF220JTCE,UNI-ROYAL(Uniroyal Elec),0402,-55℃~+155℃ 22Ω 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0402WGF220JTCE) of this part does not match the one (22) provided in your BOM. Please confirm;,C25092,https://jlcpcb.com/partdetail/25835-0402WGF220JTCE/C25092,Basic,10,10 JLCPCB,0.006
"R6,R9",,1K,0402,,Unconfirmed,0402WGF1001TCE,UNI-ROYAL(Uniroyal Elec),0402,-55℃~+155℃ 1kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0402WGF1001TCE) of this part does not match the one (1K) provided in your BOM. Please confirm;,C11702,https://jlcpcb.com/partdetail/12256-0402WGF1001TCE/C11702,Basic,10,10 JLCPCB,0.006
R7,,220,0402,,Unconfirmed,0402WGF2200TCE,UNI-ROYAL(Uniroyal Elec),0402,-55℃~+155℃ 220Ω 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0402WGF2200TCE) of this part does not match the one (220) provided in your BOM. Please confirm;,C25091,https://jlcpcb.com/partdetail/25834-0402WGF2200TCE/C25091,Basic,5,5 JLCPCB,0.003
"R10,R11,R13,R14,R5,R8",,10K,0402,,Unconfirmed,0402WGF1002TCE,UNI-ROYAL(Uniroyal Elec),0402,-55℃~+155℃ 10kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0402WGF1002TCE) of this part does not match the one (10K) provided in your BOM. Please confirm;,C25744,https://jlcpcb.com/partdetail/26487-0402WGF1002TCE/C25744,Basic,30,30 JLCPCB,0.015
R12,,0.47,0402,,Unconfirmed,0402WGF470LTCE,UNI-ROYAL(Uniroyal Elec),0402,-55℃~+155℃ 470mΩ 50V 62.5mW Thick Film Resistor ±1% ±800ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0402WGF470LTCE) of this part does not match the one (0.47) provided in your BOM. Please confirm;,C423162,https://jlcpcb.com/partdetail/416112-0402WGF470LTCE/C423162,Extended,20,20 JLCPCB,0.078
"SW1,SW2,SW3",,TSA016A2526B,SW_Push_SPST_TSA016,,Select by System,TSA016A2526B,BZCN,"SMD,4.2x3.4mm","12V 2.5mm 2.6N 3.35mm 4.2mm 50mA Oval Button Surface Mount,Vertical White SMD,4.2x3.4mm Tactile Switches ROHS",Tactile Switches,,C2888429,https://jlcpcb.com/partdetail/BZCN-TSA016A2526B/C2888429,Extended,20,20 JLCPCB,0.418
U1,,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,,Select by Customer,RP2040,Raspberry Pi,LQFN-56(7x7),12bit 133MHz 30 LQFN-56(7x7) Microcontrollers (MCU/MPU/SOC) ROHS,Microcontrollers (MCU/MPU/SOC),,C2040,https://jlcpcb.com/partdetail/RaspberryPi-RP2040/C2040,Extended,5,5 JLCPCB,4.5825
U2,,USBLC6-2SC6,SOT-23-6,,Select by System,USBLC6-2SC6,TECH PUBLIC,SOT-23-6,-55℃~+125℃ 0.35pF 12V 150W 2 5V 6A 6V 80nA ESD IEC 61000-4-2 Unidirectional SOT-23-6 ESD and Surge Protection (TVS/ESD) ROHS,ESD And Surge Protection (TVS/ESD),,C2827654,https://jlcpcb.com/partdetail/TECHPUBLIC-USBLC62SC6/C2827654,Extended,9,9 JLCPCB,0.3348
U3,,NCP1117ST33T3G,SOT-223-3_TabPin2,,Select by System,NCP1117ST33T3G,onsemi,SOT-223,"0.003%Vout 0℃~+125℃@(Ta) 1 1.2V@(800mA) 1A 20V 3.3V 62dB@(120Hz) 6mA Fixed Over Current Protection Positive SOT-223 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS","Voltage Regulators - Linear, Low Drop Out (LDO) Regulators",,C26537,https://jlcpcb.com/partdetail/onsemi-NCP1117ST33T3G/C26537,Extended,5,5 JLCPCB,1.119
U4,,W25Q32JVSS,SOIC-8_5.3x5.3mm_P1.27mm,,Unconfirmed,W25Q32JVSSIQ,Winbond Elec,SOIC-8-208mil,"-40℃~+85℃ 100,000 Cycles 133MHz 1uA 2.7V~3.6V 20 Years 32Mbit 3ms SPI SOIC-8-208mil NOR FLASH ROHS",NOR FLASH,1.The comment (W25Q32JVSSIQ) of this part does not match the one (W25Q32JVSS) provided in your BOM. Please confirm;,C179173,https://jlcpcb.com/partdetail/WinbondElec-W25Q32JVSSIQ/C179173,Extended,5,5 JLCPCB,3.2475
U5,,Conn,LCSC_1x24-1MP_P0.5mm_Horizontal,,Select by System,AFC07-S24FCA-00,JUSHUO,"SMD,P=0.5mm,卧贴","0.3mm 0.5mm 24P 2mm Bottom Contact Copper Alloy Slide Lock Surface Mount, Right Angle Tin SMD,P=0.5mm,Surface Mount，Right Angle FFC, FPC (Flat Flexible) Connector Assemblies ROHS","FFC, FPC (Flat Flexible) Connector Assemblies",,C262567,https://jlcpcb.com/partdetail/JUSHUO-AFC07_S24FCA00/C262567,Extended,5,5 JLCPCB,0.5985
U6,,ST25DV04K-JFR6D3,ST_UFDFPN-12-1EP_3x3mm_P0.5mm_EP1.4x2.55mm,,Select by System,ST25DV04K-JFR6D3,STMicroelectronics,UDFN-12-EP(3x3),"1.8V~5.5V 53Kbit/s I2C ISO 15693,NFC UDFN-12-EP(3x3) RFID ICs ROHS",RFID ICs,,C2654815,https://jlcpcb.com/partdetail/STMicroelectronics-ST25DV04KJFR6D3/C2654815,Extended,5,5 JLCPCB,1.695
Y1,,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,,Select by Customer,X322512MSB4SI,YXC Crystal Oscillators,SMD3225-4P,-40℃~+85℃ 12MHz 20pF Crystal Oscillator ±10ppm ±20ppm SMD3225-4P Crystals ROHS,Crystals,,C9002,https://jlcpcb.com/partdetail/YXC_CrystalOscillators-X322512MSB4SI/C9002,Basic,5,5 JLCPCB,0.3225
"J2,J3",,Conn_01x15,PinHeader_PAD_1x15_P2.54mm_Vertical,,No matches,No Part Selected,,,,,,,,,,,
L1,,NFCAntenna,25x35mm-NFC,,No matches,No Part Selected,,,,,,,,,,,
